netlist,score,intersections,restarts,max_reverts
enkele swap, best 5
"[(13, 6), (12, 11), (15, 47), (15, 17), (46, 39), (35, 20), (28, 39), (2, 12), (28, 37), (2, 14), (17, 11), (37, 21), (13, 10), (28, 48), (6, 40), (23, 45), (50, 29), (33, 26), (33, 3), (16, 23), (40, 39), (38, 41), (2, 21), (34, 32), (4, 15), (25, 30), (30, 38), (1, 4), (22, 43), (49, 35), (9, 5), (7, 34), (15, 44), (2, 38), (26, 18), (27, 40), (4, 11), (34, 8), (6, 42), (22, 34), (6, 18), (14, 46), (35, 3), (45, 29), (13, 37), (39, 8), (4, 22), (19, 43), (15, 35), (1, 40), (49, 3), (40, 4), (31, 33), (39, 50), (44, 32), (31, 41), (50, 13), (38, 3), (17, 9), (47, 1), (18, 36), (47, 30), (41, 48), (45, 35), (27, 42), (48, 45), (26, 7), (31, 8), (38, 44), (12, 46)]",22499,71,30,150
"[(28, 37), (27, 40), (1, 4), (26, 7), (39, 50), (26, 18), (33, 26), (15, 35), (25, 30), (48, 45), (35, 20), (19, 43), (44, 32), (41, 48), (47, 1), (40, 4), (16, 23), (14, 46), (28, 39), (2, 14), (31, 41), (30, 38), (50, 29), (4, 11), (15, 17), (50, 13), (23, 45), (34, 32), (39, 8), (6, 18), (37, 21), (13, 10), (38, 3), (7, 34), (22, 43), (18, 36), (17, 11), (13, 6), (34, 8), (2, 21), (33, 3), (22, 34), (6, 42), (4, 15), (45, 29), (38, 41), (27, 42), (31, 8), (15, 47), (1, 40), (9, 5), (35, 3), (46, 39), (4, 22), (12, 11), (17, 9), (28, 48), (40, 39), (49, 3), (31, 33), (38, 44), (2, 38), (15, 44), (12, 46), (13, 37), (2, 12), (49, 35), (45, 35), (6, 40), (47, 30)]",25535,81,30,200
"[(28, 39), (28, 37), (4, 22), (17, 11), (13, 37), (22, 34), (49, 35), (26, 7), (45, 35), (44, 32), (40, 4), (13, 10), (28, 48), (2, 14), (48, 45), (39, 8), (6, 42), (6, 18), (17, 9), (9, 5), (34, 8), (6, 40), (13, 6), (46, 39), (34, 32), (50, 29), (27, 42), (47, 1), (30, 38), (38, 44), (25, 30), (49, 3), (33, 26), (15, 35), (4, 11), (37, 21), (1, 40), (40, 39), (41, 48), (31, 41), (15, 17), (31, 33), (38, 41), (16, 23), (22, 43), (2, 12), (18, 36), (35, 3), (14, 46), (23, 45), (2, 38), (7, 34), (38, 3), (26, 18), (31, 8), (12, 11), (33, 3), (4, 15), (15, 44), (47, 30), (27, 40), (1, 4), (39, 50), (45, 29), (50, 13), (15, 47), (2, 21), (12, 46), (35, 20), (19, 43)]",22533,71,30,250
"[(15, 17), (2, 14), (14, 46), (49, 35), (38, 3), (40, 4), (6, 42), (12, 11), (38, 41), (19, 43), (15, 35), (2, 38), (22, 34), (16, 23), (47, 30), (6, 40), (34, 8), (4, 22), (17, 11), (28, 37), (38, 44), (26, 7), (39, 50), (4, 15), (15, 44), (22, 43), (50, 29), (33, 26), (9, 5), (26, 18), (2, 12), (49, 3), (31, 33), (15, 47), (1, 4), (40, 39), (13, 37), (28, 39), (2, 21), (18, 36), (12, 46), (13, 10), (17, 9), (46, 39), (44, 32), (31, 41), (35, 20), (25, 30), (30, 38), (7, 34), (4, 11), (45, 35), (50, 13), (13, 6), (23, 45), (47, 1), (41, 48), (39, 8), (33, 3), (27, 40), (1, 40), (34, 32), (45, 29), (28, 48), (27, 42), (48, 45), (35, 3), (6, 18), (37, 21), (31, 8)]",23389,74,1000,100
"[(25, 30), (35, 3), (33, 26), (41, 48), (26, 7), (31, 33), (39, 50), (50, 13), (28, 39), (13, 6), (47, 30), (6, 18), (15, 35), (50, 29), (13, 10), (1, 4), (22, 43), (4, 11), (39, 8), (4, 22), (15, 44), (37, 21), (40, 39), (45, 29), (28, 37), (2, 21), (13, 37), (12, 46), (27, 40), (47, 1), (38, 41), (1, 40), (19, 43), (2, 38), (38, 44), (6, 42), (23, 45), (17, 11), (18, 36), (38, 3), (46, 39), (12, 11), (9, 5), (34, 32), (30, 38), (35, 20), (7, 34), (2, 12), (33, 3), (26, 18), (27, 42), (22, 34), (48, 45), (16, 23), (31, 8), (14, 46), (44, 32), (6, 40), (31, 41), (34, 8), (28, 48), (49, 35), (15, 47), (15, 17), (2, 14), (4, 15), (49, 3), (40, 4), (17, 9), (45, 35)]",7419,20,1,1
"[(4, 22), (25, 30), (2, 38), (46, 39), (17, 11), (9, 5), (13, 37), (4, 11), (27, 40), (37, 21), (41, 48), (26, 18), (15, 17), (14, 46), (22, 43), (40, 39), (40, 4), (34, 8), (39, 8), (12, 11), (28, 39), (6, 18), (45, 35), (15, 44), (49, 3), (38, 3), (2, 12), (15, 35), (33, 26), (47, 1), (13, 6), (27, 42), (2, 14), (31, 33), (38, 44), (28, 37), (45, 29), (6, 40), (50, 29), (28, 48), (1, 40), (38, 41), (18, 36), (6, 42), (30, 38), (44, 32), (31, 41), (34, 32), (50, 13), (47, 30), (13, 10), (23, 45), (35, 20), (39, 50), (16, 23), (35, 3), (4, 15), (1, 4), (17, 9), (49, 35), (19, 43), (26, 7), (48, 45), (33, 3), (31, 8), (12, 46), (22, 34), (15, 47), (2, 21), (7, 34)]",5625,14,1,0
"[(18, 36), (39, 50), (47, 1), (33, 26), (39, 8), (41, 48), (2, 21), (45, 29), (40, 39), (13, 6), (26, 7), (37, 21), (13, 10), (34, 8), (50, 13), (26, 18), (35, 20), (13, 37), (27, 42), (38, 3), (28, 48), (34, 32), (49, 3), (2, 12), (25, 30), (14, 46), (31, 41), (15, 35), (38, 41), (17, 11), (30, 38), (6, 40), (16, 23), (50, 29), (4, 11), (2, 38), (1, 40), (12, 11), (17, 9), (2, 14), (6, 42), (22, 43), (22, 34), (31, 33), (19, 43), (31, 8), (35, 3), (15, 17), (27, 40), (33, 3), (38, 44), (1, 4), (4, 22), (7, 34), (49, 35), (12, 46), (47, 30), (9, 5), (44, 32), (15, 44), (15, 47), (28, 37), (4, 15), (23, 45), (46, 39), (28, 39), (6, 18), (45, 35), (48, 45), (40, 4)]",2879,5,1000,100
"[(47, 30), (9, 5), (27, 42), (2, 14), (7, 34), (2, 12), (34, 32), (25, 30), (1, 4), (31, 33), (28, 37), (17, 9), (14, 46), (50, 29), (15, 47), (40, 39), (38, 3), (35, 3), (18, 36), (28, 39), (45, 35), (2, 21), (1, 40), (15, 35), (33, 3), (12, 46), (39, 8), (6, 40), (28, 48), (13, 10), (27, 40), (31, 8), (2, 38), (13, 37), (34, 8), (30, 38), (45, 29), (6, 42), (49, 3), (33, 26), (49, 35), (15, 44), (41, 48), (39, 50), (17, 11), (38, 41), (50, 13), (38, 44), (22, 34), (16, 23), (37, 21), (48, 45), (44, 32), (15, 17), (22, 43), (26, 7), (31, 41), (4, 22), (19, 43), (4, 11), (6, 18), (13, 6), (35, 20), (4, 15), (47, 1), (26, 18), (12, 11), (46, 39), (23, 45), (40, 4)]",2943,5,2000,100
"[(7, 34), (47, 30), (2, 14), (34, 8), (34, 32), (28, 37), (45, 35), (19, 43), (31, 33), (38, 41), (31, 41), (50, 29), (28, 48), (15, 44), (35, 3), (45, 29), (38, 44), (2, 38), (6, 18), (13, 10), (12, 11), (15, 17), (15, 47), (33, 26), (1, 4), (27, 40), (28, 39), (22, 43), (23, 45), (13, 6), (1, 40), (38, 3), (50, 13), (26, 18), (49, 3), (47, 1), (27, 42), (30, 38), (13, 37), (46, 39), (49, 35), (9, 5), (18, 36), (17, 9), (40, 4), (22, 34), (25, 30), (41, 48), (26, 7), (2, 21), (39, 50), (17, 11), (4, 11), (48, 45), (35, 20), (33, 3), (6, 40), (4, 15), (2, 12), (39, 8), (15, 35), (6, 42), (12, 46), (40, 39), (16, 23), (4, 22), (37, 21), (14, 46), (31, 8), (44, 32)]",3293,6,200,10
"[(38, 3), (19, 43), (49, 35), (9, 5), (27, 40), (17, 11), (12, 11), (49, 3), (13, 6), (4, 11), (2, 12), (26, 7), (50, 29), (6, 40), (44, 32), (15, 35), (40, 39), (35, 3), (33, 26), (1, 4), (39, 8), (33, 3), (22, 34), (26, 18), (35, 20), (25, 30), (6, 18), (6, 42), (37, 21), (2, 38), (34, 8), (40, 4), (23, 45), (38, 41), (48, 45), (17, 9), (15, 47), (18, 36), (47, 1), (50, 13), (13, 10), (47, 30), (13, 37), (31, 41), (31, 33), (4, 15), (41, 48), (28, 39), (7, 34), (2, 21), (45, 35), (45, 29), (4, 22), (12, 46), (46, 39), (30, 38), (28, 37), (22, 43), (38, 44), (31, 8), (28, 48), (27, 42), (15, 44), (34, 32), (15, 17), (1, 40), (16, 23), (14, 46), (39, 50), (2, 14)]",2287,3,200,10
